FullName,Gender,Major,Description,Personality,Interests,Communication_Style,Looking_for,Favorite_Subject,Study_Location,Study_Time
Nguyễn Đỗ Khôi Nguyên,Male,SIC,,INTJ,"EDM, Hiphop, Baseball, Alcoholic",Text message,Chit Chatting,"Electronic, Biology, Chemistry",Online,Early Morning
Nguyễn Hải Nguyên,Female,DS,,INTJ,"Volleyball, Politics, Food tour, Yoga, Gym",Text message,Study supporter,"Practical laboratory, Programming, Health Care, Physics","Home, Café",Midday
Trịnh Trung Nguyên,Male,MST,,INFP,Yoga,Text message,Share knowledge,"Programming, Practical laboratory, Biology, Chemistry","Café, Online, Home",Midday
Đỗ Gia Phúc,Male,EER,,INFP,"Skiing, Movie, Coffee, Tea, Politics, Korean food",Text message,Share knowledge,"Artificial Intelligence, Environment, Physics, Programming, Chemistry","Bookstore, Café",Midday
Võ Văn Hồng Phúc,Male,SIC,,INTJ,Basketball,Text message,Share knowledge,"Artificial Intelligence, Linear Algebra, Practical laboratory, Electronic",Home,Overnight
Bùi Văn Quý,Male,SIC,,ISFJ,"Bowling, Swimming, Skateboarding",Phone call,Study supporter,"Physics, Chemistry, Artificial Intelligence, Biology",Home,Early Morning
Dương Phương Quyên,Female,EER,,ESFJ,"Painting, Table tennis, Food tour, Taekwondo",Phone call,Study supporter,"Calculus, Practical laboratory, Physics, Electronic, Environment","Bookstore, Online, Home",Early Morning
Lê Duy Thái,Male,AE,,ENTJ,"Badminton, Bowling",Video call,Study supporter,Calculus,Home,Evening
Nguyễn Hà Thanh,Female,CS,,INTJ,"V-pop, singing, DIY",Phone call,Chit Chatting,"Biology, Practical laboratory","Library, Bookstore",Midnight
Khuất Hữu Thành,Male,ATE,,ISTP,"Taekwondo, Volleyball, Bowling, Skiing, DIY",In-person (face-to-face),Study supporter,"Artificial Intelligence, Environment","Online, Home",Overnight
Phạm Đức Thành,Male,CH,,ENTJ,"K-pop, Cooking, Football, Anime, Volleyball",Video call,Study supporter,"Physics, Artificial Intelligence","Home, Café",Night
Nguyễn Minh Thu,Female,SIC,,ISFJ,"Alcoholic, Baseball, Food tour, Jogging",In-person (face-to-face),Chit Chatting,Electronic,"Café, Library",Night
Tạ Phương Trà,Female,MST,,ENFJ,"Football, Coffee, Tea, Table tennis",Video call,Share knowledge,"Linear Algebra, Practical laboratory, Health Care, Physics, Chemistry",Online,Evening
Trần Quỳnh Trang,Female,CS,,ESTP,"Dancing, singing",Phone call,Share knowledge,"Chemistry, Linear Algebra","Home, Bookstore, Café",Night
Nguyễn Danh Trí,Male,AMS,,ESFP,"Rap, Coffee, Tea, Table tennis",Phone call,Share knowledge,"Artificial Intelligence, Environment","Bookstore, Library, Home",Overnight
Phạm Quốc Tuấn,Male,CH,,INTP,"Taekwondo, Alcoholic, Bowling",In-person (face-to-face),Chit Chatting,Electronic,"Bookstore, Café, Online",Midnight
Lương Thế Tùng,Male,EER,,INFJ,"Korean food, EDM, Alcoholic, Dancing, Taekwondo",In-person (face-to-face),Chit Chatting,Linear Algebra,"Café, Home",Night
Đặng Tiến Anh,Male,CH,,ESTP,Netflix,In-person (face-to-face),Share knowledge,"Health Care, Calculus, Biology, Programming","Bookstore, Café",Night
Lê Ngọc Đức Anh,Male,CS,,ISFP,"Investment, Hiphop, Basketball, DIY",Video call,Study supporter,"Chemistry, Physics, Artificial Intelligence, Programming","Café, Bookstore, Home",Overnight
Nguyễn Đức Anh,Male,SST,,ENTP,"Anime, DIY, Baseball, Makeup, Football",Text message,Study supporter,Health Care,"Bookstore, Online, Library",Evening
Nguyễn Gia Việt Anh,Male,AE,,INTP,Vlogging,Phone call,Chit Chatting,"Physics, Biology","Bookstore, Online",Night
Phạm Lê Thục Anh,Female,EER,,INFJ,Investment,Phone call,Study supporter,"Linear Algebra, Health Care","Bookstore, Café, Online",Overnight
Trần Thị Kim Anh,Female,Pharmacy,,INFP,"Food tour, Netflix, Baseball",In-person (face-to-face),Share knowledge,"Linear Algebra, Practical laboratory","Online, Café, Library",Night
Trịnh Thị Ngọc Ánh,Female,DS,,ENTP,"Hiphop, Coffee, Tea",Phone call,Share knowledge,Physics,"Home, Café, Online",Midnight
Đinh Duy Bách,Male,BIT,,ESFP,"Politics, Netflix, Dancing",Phone call,Share knowledge,"Programming, Chemistry, Calculus, Physics, Health Care",Home,Midday
Trịnh Dương Bình,Male,Pharmacy,,ISTP,"Study, Gym, Netflix",Video call,Study supporter,Practical laboratory,"Online, Library",Evening
Lê Tuấn Dũng,Male,AE,,ESFP,"Volleyball, Study, Vlogging, Painting, V-pop",In-person (face-to-face),Chit Chatting,"Practical laboratory, Environment, Physics","Café, Online, Library",Night
Đỗ Trần Anh Duy,Male,Pharmacy,,ESTP,"Table tennis, Netflix, Art, Rap, Board games",In-person (face-to-face),Share knowledge,"Chemistry, Calculus","Home, Café, Bookstore",Overnight
Mạc Minh Duy,Male,MST,,ESFP,"Karate, Table tennis, Rap, Cooking",In-person (face-to-face),Study supporter,"Chemistry, Health Care","Café, Online, Home",Midday
Mai Ngọc Duy,Male,Pharmacy,,ESTP,"Jogging, Politics, Cooking",Video call,Share knowledge,"Chemistry, Programming, Electronic, Linear Algebra, Calculus","Home, Bookstore, Online",Overnight
Nguyễn Phạm Mỹ Duyên,Female,CH,,ESFJ,"Makeup, Volleyball",Video call,Share knowledge,"Artificial Intelligence, Programming, Linear Algebra, Biology, Electronic","Library, Bookstore, Café",Early Morning
Đỗ Huy Đạt,Male,AMS,,ENFP,"Alcoholic, Study, Gym",Phone call,Chit Chatting,"Electronic, Artificial Intelligence",Café,Evening
Cao Phương Đăng,Male,SIC,,ISFP,"EDM, Coffee, Tea, Board games, Hiphop, Skateboarding",Phone call,Share knowledge,Calculus,"Home, Library",Midnight
Lê Hữu Đức,Male,BIT,,ISTP,"Alcoholic, Movie, Investment, Volleyball, V-pop",In-person (face-to-face),Share knowledge,"Practical laboratory, Environment, Physics, Linear Algebra, Health Care","Online, Café, Bookstore",Midnight
Nguyễn Ngân Hà,Female,Pharmacy,,ISFP,Vlogging,Text message,Chit Chatting,"Health Care, Practical laboratory, Calculus, Physics","Café, Library",Early Morning
Kiều Thị Minh Hằng,Female,SST,,ISFP,Table tennis,In-person (face-to-face),Share knowledge,"Artificial Intelligence, Environment, Programming, Practical laboratory","Home, Café, Bookstore",Midnight
Nguyễn Đình Hải,Male,FST,,ISFP,"Baseball, Board games, K-pop, Food tour, Jogging",Phone call,Study supporter,"Practical laboratory, Health Care, Chemistry","Bookstore, Home, Café",Evening
Mai Thị Minh Hiền,Female,MAT,,ENFJ,"Yoga, Skateboarding",Text message,Share knowledge,Chemistry,"Library, Home, Bookstore",Night
Nguyễn Trọng Hiếu,Male,MST,,ENTP,"Art, singing",In-person (face-to-face),Study supporter,Chemistry,Home,Early Morning
Nguyễn Việt Hoàng,Male,MST,,ESFJ,"Painting, Alcoholic, DIY",Phone call,Chit Chatting,"Biology, Physics, Programming, Health Care, Environment","Library, Home",Night
Nguyễn Viết Huy,Male,DS,,INFJ,"Basketball, EDM",Video call,Chit Chatting,"Physics, Environment, Electronic","Library, Café",Midday
Nguyễn Việt Huy,Male,BIT,,ISFP,"Movie, Rap",In-person (face-to-face),Chit Chatting,"Health Care, Programming, Linear Algebra",Home,Evening
Phạm Quang Huy,Male,BIT,,ESFJ,"Hiphop, Anime, singing, Investment, Food tour",Video call,Chit Chatting,"Health Care, Biology, Linear Algebra, Practical laboratory, Chemistry","Online, Library",Midday
Vũ Thị Ngọc Huyền,Female,ATE,,INFP,"Dancing, Yoga, Volleyball",Text message,Chit Chatting,"Calculus, Chemistry, Linear Algebra, Electronic","Online, Library, Home",Midday
Lê Anh Kiệt,Male,BIT,,ESFJ,"Movie, EDM, Study, DIY, Food tour",Phone call,Share knowledge,"Electronic, Linear Algebra","Bookstore, Home, Café",Midday
Lê Gia Linh,Male,SST,,ENFP,"Ballet, Makeup, Korean food, Board games, Art",Phone call,Chit Chatting,Physics,Library,Midnight
Hoàng Hữu Minh,Male,SIC,,ESFJ,Baseball,Video call,Share knowledge,"Programming, Environment",Bookstore,Night
Nghiêm Tuấn Minh,Male,SIC,,ENTJ,"Food tour, Politics, Swimming, Board games, Baseball",Video call,Chit Chatting,Calculus,"Library, Home",Overnight
Trần Hoàng Minh,Male,CS,,ISTJ,"singing, Investment, V-pop, Hiphop, Painting",In-person (face-to-face),Chit Chatting,"Health Care, Linear Algebra, Programming, Physics","Bookstore, Café, Library",Midday
Vũ Nhật Minh,Male,ICT,,INFP,K-pop,Text message,Study supporter,"Health Care, Electronic, Practical laboratory, Artificial Intelligence","Café, Bookstore, Library",Overnight
Bùi Thu Nga,Female,ATE,,ISTJ,"Study, K-pop, Gym",Phone call,Chit Chatting,Practical laboratory,"Bookstore, Library",Evening
Phạm Khánh Nghĩa,Male,FST,,ENFP,"Alcoholic, Hiphop, Karate, Badminton",Phone call,Chit Chatting,Physics,Home,Night
Lê Thúc Nguyên,Female,AMS,,ENFP,Alcoholic,Phone call,Share knowledge,Linear Algebra,"Home, Library, Bookstore",Midday
Đỗ Phương Nhã,Female,SIC,,ENFP,"Rap, Makeup, Investment, Board games",Phone call,Share knowledge,"Physics, Linear Algebra, Calculus, Electronic, Artificial Intelligence","Online, Bookstore",Evening
Đinh Thị Cẩm Nhung,Female,MAT,,ESFP,"Baseball, Vlogging, Korean food, Basketball",Text message,Chit Chatting,"Practical laboratory, Programming, Calculus, Linear Algebra, Physics","Café, Online, Bookstore",Midnight
Nguyễn Đình An Sang,Male,SIC,,ISFJ,Taekwondo,In-person (face-to-face),Share knowledge,"Artificial Intelligence, Practical laboratory, Physics, Electronic, Calculus","Café, Online",Night
Nguyễn Tường Thụy,Female,ICT,,INFP,"Football, Table tennis, Dancing",Phone call,Study supporter,"Artificial Intelligence, Linear Algebra, Biology",Library,Early Morning
Lê Phan Hà Trang,Female,BIT,,ENFP,"Vlogging, Football, Study, Volleyball",Phone call,Chit Chatting,"Artificial Intelligence, Linear Algebra","Bookstore, Online",Midday
Nguyễn Việt Trung,Male,EER,,INTJ,"Cooking, Netflix",In-person (face-to-face),Study supporter,"Artificial Intelligence, Environment, Chemistry, Linear Algebra, Physics","Bookstore, Home, Online",Night
Nguyễn Tống Vương,Male,ICT,,ESTP,"Art, Anime, Bowling",Text message,Study supporter,"Programming, Practical laboratory, Electronic, Physics, Chemistry","Bookstore, Café",Midday
Lý Anh Vũ,Male,ATE,,ESTP,"V-pop, Investment, Food tour",Phone call,Chit Chatting,"Physics, Environment, Artificial Intelligence",Bookstore,Midday
Nguyễn Thị Hồng An,Female,SIC,,INFJ,"Coffee, Tea",Video call,Study supporter,"Calculus, Physics, Programming, Electronic, Practical laboratory",Home,Midnight
Vũ Hà An,Female,EER,,INTJ,"Politics, Investment, Korean food, Rap",In-person (face-to-face),Study supporter,"Programming, Physics","Online, Library, Café",Night
Hà Diệp Anh,Female,SIC,,ESTJ,"Makeup, Korean food, Gym",Phone call,Share knowledge,Calculus,Home,Early Morning
Lại Phương Anh,Female,CS,,ENFJ,"V-pop, Jogging, Makeup, Baseball, Painting",In-person (face-to-face),Study supporter,"Practical laboratory, Health Care, Linear Algebra, Calculus","Bookstore, Home, Library",Overnight
Nguyễn Phan Anh,Female,DS,,ESTJ,Basketball,In-person (face-to-face),Study supporter,"Linear Algebra, Environment, Electronic",Home,Night
Phan Minh Anh,Female,AES,,ESFP,"Skateboarding, Yoga, V-pop",In-person (face-to-face),Share knowledge,"Health Care, Electronic, Practical laboratory",Library,Overnight
Trần Phương Anh,Female,MST,,ESFJ,Hiphop,Text message,Study supporter,"Artificial Intelligence, Linear Algebra, Programming, Environment, Electronic","Bookstore, Home",Midday
Trương Điểm Bích,Female,CS,,ENFJ,"Food tour, Ballet, Alcoholic",Phone call,Chit Chatting,Biology,"Café, Home",Midday
Đỗ Hoàng Bảo Châu,Female,CH,,ISFJ,"Investment, DIY, Art, Football, Netflix",In-person (face-to-face),Chit Chatting,Artificial Intelligence,Café,Overnight
Nguyễn Phương Chi,Female,AMS,,ISTP,"Badminton, Coffee, Tea, DIY, Basketball",Phone call,Chit Chatting,"Health Care, Chemistry, Biology, Artificial Intelligence, Environment","Café, Library",Midday
Trần Thùy Dương,Female,DS,,ESTP,"EDM, Travel",Phone call,Share knowledge,Health Care,"Bookstore, Online",Overnight
Nguyễn Hương Giang,Female,BIT,,INFJ,"Hiphop, Cooking",Video call,Chit Chatting,"Practical laboratory, Environment, Electronic, Programming","Bookstore, Library, Online",Midday
Nguyễn Trịnh Thu Giang,Female,SST,,ISTP,Ballet,Text message,Chit Chatting,Practical laboratory,"Home, Online",Midday
Tiêu Vân Giang,Female,ICT,,INTP,"K-pop, Baseball, Movie, Dancing, Travel",Text message,Chit Chatting,"Programming, Artificial Intelligence",Library,Midnight
Đặng Hoàng Minh Hà,Female,ATE,,ENTJ,"Netflix, Hiphop, Volleyball, Investment, singing",In-person (face-to-face),Chit Chatting,"Health Care, Environment","Library, Online",Evening
Trần Vân Hà,Female,MST,,INFJ,"Painting, Hiphop",Text message,Study supporter,"Biology, Chemistry, Programming","Café, Library",Evening
Phạm Minh Hải,Male,ATE,,ISFP,"Basketball, K-pop, Baseball, Skateboarding",In-person (face-to-face),Share knowledge,"Electronic, Programming, Chemistry",Café,Night
Phan Đức Hoàng,Male,AE,,ESFP,"singing, Ballet, Volleyball, Makeup, Netflix",Video call,Share knowledge,Artificial Intelligence,"Home, Library, Bookstore",Evening
Nguyễn Quốc Khánh,Male,DS,,ENFP,"Baseball, Cooking",In-person (face-to-face),Share knowledge,Calculus,Library,Early Morning
Đới Diệu Trang Linh,Female,CS,,ENTP,"Korean food, Football, V-pop, Skiing",Phone call,Study supporter,Calculus,"Home, Library",Evening
Lưu Khánh Linh,Female,ATE,,INFJ,Alcoholic,Video call,Chit Chatting,"Linear Algebra, Biology",Bookstore,Early Morning
Nguyễn Thị Thảo Linh,Female,CH,,INFP,"V-pop, Badminton, Swimming",Text message,Share knowledge,"Linear Algebra, Chemistry","Home, Bookstore, Café",Night
Nguyễn Yến Linh,Female,CS,,ISFP,"Jogging, Volleyball",Video call,Share knowledge,Linear Algebra,Café,Early Morning
Nguyễn Khánh Ly,Female,AES,,ISTJ,"Coffee, Tea, Jogging, Painting, Basketball, Makeup",Phone call,Share knowledge,"Practical laboratory, Artificial Intelligence, Chemistry, Electronic",Café,Early Morning
Trần Đàm Cẩm Ly,Female,CH,,ENTJ,"Skateboarding, Yoga",Text message,Chit Chatting,"Calculus, Health Care, Linear Algebra, Biology","Library, Bookstore",Early Morning
Đào Quang Minh,Male,FST,,ENTP,"singing, Board games, Anime, K-pop, EDM",Phone call,Chit Chatting,"Electronic, Physics, Practical laboratory, Linear Algebra","Café, Home",Overnight
Nguyễn Lâm Ngọc Minh,Female,EER,,ENFJ,"EDM, Makeup",Phone call,Study supporter,"Programming, Physics, Health Care, Chemistry","Library, Online, Home",Overnight
Phùng Đức Minh,Male,MST,,ENTJ,"Taekwondo, Investment, singing",In-person (face-to-face),Share knowledge,"Artificial Intelligence, Biology, Electronic, Physics, Linear Algebra","Home, Online",Night
Trịnh Lê Minh,Male,CS,,ESTP,"Taekwondo, singing",Phone call,Share knowledge,"Environment, Electronic, Programming, Biology, Health Care",Home,Overnight
Nguyễn Hà My,Female,SST,,ISTP,Travel,Text message,Share knowledge,"Electronic, Environment, Biology, Programming, Chemistry",Bookstore,Overnight
Phan Thanh Ngân,Female,ATE,,ISTP,"EDM, Gym, Anime",In-person (face-to-face),Share knowledge,Linear Algebra,"Home, Café, Online",Evening
Nguyễn Gia Tuấn Nghĩa,Male,DS,,ISFP,"Baseball, Gym",In-person (face-to-face),Study supporter,"Physics, Programming, Electronic, Artificial Intelligence","Library, Online",Midnight
Phạm Minh Yến Nhi,Female,AMS,,INTJ,Swimming,Phone call,Study supporter,"Electronic, Calculus","Bookstore, Café, Online",Midday
Vũ Hoàng Yến Nhi,Female,ICT,,ESTP,"Skateboarding, Badminton, Cooking, K-pop, Korean food",Phone call,Study supporter,"Biology, Linear Algebra, Physics, Environment","Bookstore, Café",Early Morning
Hoàng Ngọc Phong,Female,ATE,,INFP,"Baseball, Anime",Video call,Chit Chatting,"Linear Algebra, Chemistry, Artificial Intelligence, Practical laboratory","Library, Bookstore",Evening
Vũ Hiền Phương,Female,EER,,ENFJ,"Karate, Painting",In-person (face-to-face),Share knowledge,"Chemistry, Physics, Electronic, Calculus",Online,Midday
Trần Đình Phú,Male,DS,,ESFP,"Bowling, Yoga, Gym, Football",Phone call,Study supporter,"Practical laboratory, Artificial Intelligence, Physics, Linear Algebra","Online, Home, Bookstore",Overnight
Lê Minh Quân,Male,SST,,ESTP,"Coffee, Tea, Football, EDM",Video call,Chit Chatting,"Electronic, Linear Algebra, Programming, Health Care, Artificial Intelligence","Library, Bookstore, Home",Midnight
Nguyễn Xuân Thịnh,Male,BIT,,ENTJ,"Vlogging, Makeup, Bowling",Phone call,Study supporter,"Environment, Practical laboratory","Café, Online, Home",Overnight
Bùi Anh Thư,Female,SIC,,ESFP,"DIY, Makeup, Movie, Study",Video call,Share knowledge,Chemistry,"Bookstore, Home, Online",Evening
Nguyễn Thị Diễm Thương,Female,SIC,,ISTP,"Skiing, Painting, Hiphop, Ballet, Investment",Text message,Share knowledge,"Calculus, Chemistry","Café, Online, Bookstore",Early Morning
Nguyễn Phan Hà Thư,Female,AE,,ESFP,"Gym, Basketball, Alcoholic, EDM",In-person (face-to-face),Chit Chatting,Physics,"Online, Café, Bookstore",Midnight
Mai Đắc Tiến,Male,AMS,,ESFP,"Alcoholic, EDM, Anime, Investment, Football",Video call,Chit Chatting,"Practical laboratory, Biology, Linear Algebra, Chemistry","Café, Bookstore",Early Morning
Nguyễn Phương Trang,Female,MST,,ENTP,Swimming,Video call,Study supporter,"Environment, Linear Algebra",Online,Midday
Huỳnh Khánh An,Female,AE,,ESTP,"Volleyball, Yoga",Video call,Study supporter,"Linear Algebra, Electronic, Practical laboratory",Bookstore,Midnight
Nguyễn Hoài An,Male,AMS,,ENTP,"Gym, Baseball",Video call,Share knowledge,Electronic,"Home, Library, Bookstore",Early Morning
Phan Hà An,Female,CS,,ESTJ,"K-pop, singing, Investment, DIY, Study",Phone call,Chit Chatting,"Biology, Chemistry","Home, Online, Café",Midday
Đặng Minh Anh,Female,ATE,,ESTJ,"Table tennis, Baseball, EDM, Rap, Art",In-person (face-to-face),Chit Chatting,"Artificial Intelligence, Programming, Health Care, Biology","Home, Online, Library",Overnight
Đoàn Hà Anh,Female,BIT,,INFJ,Basketball,Phone call,Share knowledge,"Electronic, Calculus, Linear Algebra","Home, Bookstore",Midday
Hồ Ngọc Châu Anh,Female,ICT,,ISFJ,"Gym, Painting",Phone call,Study supporter,"Linear Algebra, Chemistry",Café,Night
Nguyễn Quỳnh Anh,Female,AES,,ENTJ,"Skiing, Politics, Investment, Football",In-person (face-to-face),Study supporter,"Biology, Linear Algebra, Chemistry, Programming",Online,Early Morning
Nguyễn Quỳnh Anh,Female,BIT,,ESFP,"Art, Skiing, Basketball, Bowling",Text message,Study supporter,Biology,"Library, Online, Home",Night
Nguyễn Thị Vi Anh,Female,AE,,ESFP,"Karate, Swimming, Alcoholic",Text message,Study supporter,"Chemistry, Practical laboratory, Biology, Health Care",Online,Midnight
Nguyễn Thục Anh,Female,DS,,INFP,"Baseball, V-pop, Movie, Politics, EDM",Text message,Share knowledge,Environment,Café,Midnight
Phạm Minh Anh,Female,AMS,,ENFP,"Gym, V-pop, Makeup",In-person (face-to-face),Share knowledge,"Calculus, Environment","Library, Café, Online",Night
Nguyễn Minh Ánh,Female,BIT,,INTJ,"Art, Hiphop, Basketball, Ballet",In-person (face-to-face),Share knowledge,"Physics, Linear Algebra, Chemistry","Home, Library",Evening
Trần An Bình,Male,ATE,,ENTJ,"Netflix, Yoga, Korean food, Art",Phone call,Chit Chatting,"Biology, Electronic","Home, Library, Café",Early Morning
Lê Hà Chi,Female,AE,,ENTJ,Anime,Text message,Share knowledge,"Physics, Practical laboratory, Electronic","Home, Library, Online",Night
Nguyễn Mai Chi,Female,CS,,ESTP,"Badminton, K-pop, Painting, Taekwondo, Travel",Video call,Study supporter,"Artificial Intelligence, Health Care, Calculus","Home, Online",Overnight
Phạm Anh Duy,Male,AE,,ISFP,"Bowling, Rap, Korean food",Phone call,Share knowledge,"Programming, Calculus","Library, Home",Midnight
Đỗ Hương Giang,Female,ICT,,ESFJ,Football,Text message,Study supporter,"Artificial Intelligence, Biology",Home,Midnight
Lê Hương Giang,Female,Pharmacy,,ESTJ,"Makeup, V-pop, Yoga, K-pop, Politics",Video call,Chit Chatting,"Chemistry, Artificial Intelligence, Biology","Home, Bookstore",Overnight
Bùi Tạ Thái Hà,Female,BIT,,ENTJ,"DIY, Skiing, Netflix, V-pop",Phone call,Share knowledge,"Physics, Linear Algebra","Home, Online, Bookstore",Evening
Từ Thu Hà,Female,SIC,,ENFJ,Skateboarding,Video call,Study supporter,"Electronic, Biology, Artificial Intelligence","Café, Online, Library",Overnight
Nguyễn Thị Thu Hiền,Female,DS,,ISTJ,"Football, K-pop, DIY, Board games",Text message,Share knowledge,"Artificial Intelligence, Biology, Electronic, Physics, Practical laboratory","Café, Online",Overnight
Vũ Thanh Hiền,Female,MST,,ESFP,"Football, singing, Ballet",In-person (face-to-face),Chit Chatting,"Environment, Artificial Intelligence, Health Care","Bookstore, Online",Midnight
Nguyễn Huy Hoàng,Male,AE,,INTJ,"singing, Skiing, Gym, Rap",In-person (face-to-face),Chit Chatting,"Environment, Electronic, Health Care, Chemistry, Calculus","Online, Bookstore, Café",Midnight
Đỗ Thu Hương,Female,CS,,ESTP,"V-pop, Bowling, Table tennis, Alcoholic, Travel",Phone call,Study supporter,"Chemistry, Health Care, Physics, Linear Algebra, Electronic",Online,Early Morning
Lê Mai Hương,Female,SIC,,ISTJ,"Volleyball, Table tennis",Video call,Chit Chatting,"Practical laboratory, Physics, Health Care, Electronic",Home,Evening
Nguyễn Công Duy Khánh,Male,AE,,ENFP,"Korean food, Table tennis",Phone call,Chit Chatting,"Chemistry, Biology, Environment","Home, Online, Café",Overnight
Chu Thục Khuê,Female,CH,,INTP,"Anime, EDM",Phone call,Share knowledge,"Linear Algebra, Health Care, Practical laboratory, Biology, Physics",Home,Evening
Nguyễn Thị Thanh Lam,Female,ICT,,ENFJ,"Swimming, Art, Travel, Vlogging, Karate",Text message,Study supporter,Physics,Library,Midday
Đinh Gia Linh,Female,DS,,ENFJ,"Swimming, Painting, Anime, Volleyball, singing",Text message,Study supporter,"Health Care, Programming, Artificial Intelligence, Practical laboratory",Home,Overnight
Kim Gia Linh,Female,AE,,ESFJ,"Gym, Hiphop, Movie, Board games, Korean food",Text message,Chit Chatting,"Biology, Physics, Artificial Intelligence","Café, Home, Bookstore",Evening
Nguyễn Đỗ Tống Mỹ Linh,Female,BIT,,ISFJ,"K-pop, Politics, Gym, Rap, singing",Phone call,Share knowledge,Environment,Online,Night
Nguyễn Trần Mỹ Linh,Female,DS,,ENTP,Jogging,Text message,Study supporter,"Calculus, Linear Algebra, Environment, Chemistry, Electronic","Home, Bookstore, Online",Evening
Đỗ Thị Cẩm Ly,Female,BIT,,ISTP,"Badminton, Study, Bowling, Netflix, EDM",Phone call,Share knowledge,Environment,"Home, Bookstore, Café",Evening
Tạ Ngọc Mai,Female,AES,,ESTP,"Makeup, Swimming, Gym, Korean food",Text message,Chit Chatting,Environment,"Home, Online",Midnight
Trần Bình Minh,Male,CS,,ENFP,"DIY, Baseball",Phone call,Chit Chatting,"Artificial Intelligence, Electronic","Online, Café",Evening
Hồ Ngọc Trà My,Female,MAT,,ESFP,Baseball,Video call,Chit Chatting,Programming,Bookstore,Early Morning
Đinh Hà Ngân,Female,AES,,ESFJ,"Skiing, DIY, Gym",Phone call,Study supporter,"Calculus, Practical laboratory",Café,Early Morning
Nguyễn Hồng Ngọc,Female,SIC,,ENFP,Jogging,Text message,Share knowledge,Health Care,Home,Early Morning
Trần Linh Nhi,Female,DS,,ISTP,"Volleyball, Vlogging, Study, Ballet, Rap",Video call,Study supporter,"Electronic, Chemistry, Artificial Intelligence","Bookstore, Home",Midday
Nguyễn Thị Hồng Nhung,Female,CH,,ISFJ,"Hiphop, V-pop, Netflix",Phone call,Chit Chatting,Electronic,"Home, Library",Night
Nguyễn Minh Tâm,Female,DS,,ENFP,"EDM, Board games, Movie, Jogging",In-person (face-to-face),Share knowledge,"Artificial Intelligence, Health Care, Physics, Chemistry",Online,Overnight
Nông Mỹ Phương Thảo,Female,Pharmacy,,ENFJ,"Gym, Skiing, Volleyball, EDM",Video call,Study supporter,"Programming, Environment, Linear Algebra, Health Care","Online, Home, Café",Early Morning
Bùi Anh Thư,Female,FST,,ESFP,"Ballet, Baseball",Video call,Share knowledge,"Calculus, Practical laboratory","Home, Bookstore, Library",Midday
Nguyễn Từ Thủy Tiên,Female,MST,,ENFP,"Swimming, Anime, Painting",Text message,Study supporter,"Electronic, Health Care","Home, Bookstore, Café",Night
Nguyễn Hà Trang,Female,Pharmacy,,ENFJ,"Makeup, Coffee, Tea, Board games, Badminton",Video call,Chit Chatting,Physics,Library,Overnight
Nguyễn Thị Thu Trang,Female,ICT,,INFJ,"V-pop, Travel, Board games, Painting",Phone call,Share knowledge,"Linear Algebra, Chemistry, Biology, Practical laboratory","Bookstore, Home",Midday
Phạm Thu Trang,Female,FST,,ESTP,"Taekwondo, Anime, Gym",Video call,Share knowledge,"Physics, Electronic","Bookstore, Library, Café",Overnight
Trần Thu Trang,Female,ATE,,ESTJ,"Badminton, Volleyball",Text message,Share knowledge,"Programming, Practical laboratory, Health Care","Home, Library",Early Morning
Nguyễn Danh Uy,Male,AES,,INTJ,"Gym, Korean food, DIY",Phone call,Chit Chatting,Electronic,"Café, Library",Midnight
Võ Thị Hoàng An,Female,SST,,ENFJ,singing,In-person (face-to-face),Chit Chatting,"Artificial Intelligence, Physics, Biology","Bookstore, Online",Evening
Đặng Phương Anh,Female,FST,,ENTJ,Baseball,Video call,Chit Chatting,"Programming, Linear Algebra, Calculus, Artificial Intelligence",Online,Early Morning
Lê Tú Anh,Female,Pharmacy,,ISFP,"Taekwondo, Politics",Video call,Share knowledge,Environment,"Bookstore, Home",Early Morning
Ngô Diệu Anh,Female,AE,,INTP,"Rap, Taekwondo",Video call,Share knowledge,Practical laboratory,"Home, Online, Library",Night
Nguyễn Hiền Anh,Female,DS,,ESTJ,"Art, Food tour, Makeup, Baseball, Yoga",Phone call,Chit Chatting,"Biology, Artificial Intelligence, Calculus, Environment","Library, Café, Home",Early Morning
Nguyễn Ngọc Anh,Female,DS,,ESTJ,"Skiing, Art, Alcoholic",Text message,Chit Chatting,"Environment, Physics, Practical laboratory","Online, Bookstore, Café",Evening
Nguyễn Thục Anh,Female,CS,,ESTP,"Makeup, Yoga",Video call,Chit Chatting,"Programming, Calculus, Physics, Practical laboratory, Artificial Intelligence","Café, Home, Online",Early Morning
Phạm Quỳnh Anh,Female,FST,,ESTJ,"Coffee, Tea, Football, Cooking, Board games",In-person (face-to-face),Share knowledge,"Health Care, Environment, Biology, Physics","Online, Library",Midday
Phạm Ngọc Anh,Female,Pharmacy,,ISTJ,"V-pop, Bowling, Study, Travel, Netflix",In-person (face-to-face),Study supporter,"Programming, Chemistry, Physics, Practical laboratory, Artificial Intelligence","Home, Bookstore, Online",Evening
Vũ Minh Anh,Female,MAT,,ENFP,"Vlogging, Board games",In-person (face-to-face),Chit Chatting,"Artificial Intelligence, Health Care, Biology","Library, Online, Home",Evening
Bùi Thị Ngọc Châu,Female,SIC,,ISTJ,"V-pop, Skateboarding, Food tour",In-person (face-to-face),Share knowledge,"Biology, Health Care, Calculus","Café, Library",Overnight
